Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,819.10",53.01,1.91,"7,683,386,441.70"
Sensitive Index,483.42,8.52,1.79,"3,242,695,306.10"
Float Index,192.78,3.55,1.88,"7,604,801,964.00"
Sensitive Float Index,165.41,3.06,1.89,"3,242,695,306.10"
Banking SubIndex,"1,452.73",19.85,1.38,"533,838,545.10"
Development Bank Index,"5,985.05",197.28,3.40,"713,280,884.80"
Finance Index,"2,497.97",48.73,1.98,"153,164,462.80"
Hotels And Tourism,"7,155.58",117.47,1.66,"193,258,630.80"
HydroPower Index,"3,612.40",65.79,1.85,"2,406,445,637.00"
Investment,113.20,2.43,2.19,"340,051,258.00"
Life Insurance,"13,281.52",288.42,2.21,"323,684,478.00"
Manufacturing And Processing,"7,727.60",202.94,2.69,"692,860,531.70"
Microfinance Index,"5,247.90",56.96,1.09,"609,972,223.90"
Mutual Fund,20.41,0.09,0.47,"15,896,973.90"
Non Life Insurance,"12,519.74",207.23,1.68,"149,098,666.40"
Others Index,"2,761.49",57.93,2.14,"1,479,789,879.50"
Trading Index,"4,206.02",109.92,2.68,"9,356,766.00"
