Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,070.41",-21.15,-1.01,"1,684,942,096.45"
Sensitive Index,396.44,-3.70,-0.92,"569,134,808.70"
Float Index,145.29,-1.49,-1.02,"1,659,593,443.60"
Sensitive Float Index,132.81,-1.37,-1.02,"565,495,681.20"
Banking SubIndex,"1,352.01",-8.65,-0.64,"226,386,676.30"
Development Bank Index,"3,648.55",-46.06,-1.25,"101,985,626.70"
Finance Index,"1,708.44",-25.51,-1.47,"87,807,583.60"
Hotels And Tourism,"3,123.10",-39.40,-1.25,"18,881,274.90"
HydroPower Index,"2,541.66",-37.59,-1.46,"624,185,116.20"
Investment,64.85,-0.82,-1.25,"70,466,718.30"
Life Insurance,"10,313.44",-144.09,-1.38,"105,341,674.50"
Manufacturing And Processing,"5,142.50",-101.21,-1.93,"85,692,459.60"
Microfinance Index,"4,484.35",-56.37,-1.24,"191,775,069.00"
Mutual Fund,14.29,-0.03,-0.21,"2,968,409.27"
Non Life Insurance,"8,959.65",-124.02,-1.37,"90,786,019.20"
Others Index,"1,487.79",-0.44,-0.03,"41,582,520.20"
Trading Index,"2,222.28",-33.91,-1.50,"14,702,705.10"
