Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,046.26",17.24,0.85,"4,048,879,510.19"
Sensitive Index,394.02,2.71,0.69,"1,513,559,135.50"
Float Index,143.42,1.20,0.84,"4,014,001,951.20"
Sensitive Float Index,130.20,0.72,0.56,"1,508,232,389.70"
Banking SubIndex,"1,372.53",6.75,0.49,"693,571,945.80"
Development Bank Index,"3,597.46",-2.12,-0.06,"322,720,836.10"
Finance Index,"1,711.73",-3.21,-0.19,"274,753,777.50"
Hotels And Tourism,"2,885.54",14.96,0.52,"68,483,392.20"
HydroPower Index,"2,260.19",5.53,0.25,"1,076,016,889.00"
Investment,62.67,0.62,1.00,"134,000,998.50"
Life Insurance,"10,381.89",301.35,2.99,"299,963,948.90"
Manufacturing And Processing,"5,237.59",31.40,0.60,"255,230,023.00"
Microfinance Index,"4,515.16",28.49,0.63,"365,731,825.20"
Mutual Fund,13.77,0.05,0.39,"8,263,306.54"
Non Life Insurance,"8,456.84",162.08,1.95,"228,488,957.20"
Others Index,"1,578.92",25.45,1.64,"287,004,181.80"
Trading Index,"1,955.63",6.09,0.31,"8,035,176.00"
