Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,268.85",12.27,0.54,"1,390,607,701.93"
Sensitive Index,439.47,3.12,0.71,"1,295,630,000.00"
Float Index,154.98,0.92,0.60,"1,386,370,000.00"
Sensitive Float Index,140.09,0.94,0.67,"920,940,000.00"
Banking SubIndex,"1,546.96",14.76,0.96,"258,117,480.20"
Development Bank Index,"3,914.55",-20.91,-0.53,"117,627,400.10"
Finance Index,"1,653.14",1.66,0.10,"71,793,470.30"
Hotels And Tourism,"2,927.36",-25.85,-0.88,"12,949,296.50"
HydroPower Index,"2,528.70",12.53,0.50,"360,560,349.70"
Investment,74.14,-0.07,-0.09,"71,706,175.60"
Life Insurance,"11,700.85",-82.12,-0.70,"130,282,537.50"
Manufacturing And Processing,"5,361.10",27.19,0.51,"89,196,351.50"
Microfinance Index,"4,638.13",60.75,1.33,"132,820,393.50"
Mutual Fund,15.42,0.08,0.55,"2,639,891.94"
Non Life Insurance,"10,073.94",57.03,0.57,"44,097,945.30"
Others Index,"1,744.52",5.91,0.34,"91,630,029.30"
Trading Index,"2,060.00",35.26,1.74,"5,586,380.00"
