Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,584.49",3.27,0.12,"3,429,893,942.06"
Sensitive Index,447.58,1.57,0.35,"1,165,148,538.70"
Float Index,176.85,0.13,0.07,"3,398,406,752.20"
Sensitive Float Index,151.63,0.31,0.20,"1,165,148,538.70"
Banking SubIndex,"1,342.84",1.37,0.10,"255,975,896.50"
Development Bank Index,"5,354.74",-8.95,-0.16,"167,376,264.80"
Finance Index,"2,273.66",4.53,0.20,"156,596,546.40"
Hotels And Tourism,"6,776.18",7.41,0.10,"78,785,213.70"
HydroPower Index,"3,302.68",9.78,0.29,"1,237,612,390.10"
Investment,100.55,-0.35,-0.34,"176,476,073.50"
Life Insurance,"12,834.40",-102.15,-0.78,"265,748,581.00"
Manufacturing And Processing,"8,277.12",20.82,0.25,"547,466,259.80"
Microfinance Index,"4,853.40",8.41,0.17,"275,394,198.80"
Mutual Fund,20.24,-0.02,-0.11,"7,364,684.37"
Non Life Insurance,"10,701.32",-17.45,-0.16,"50,729,595.80"
Others Index,"2,323.43",29.47,1.28,"175,308,697.00"
Trading Index,"3,773.09",-0.22,0.00,"10,937,034.80"
