Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,980.09",40.48,2.09,"3,454,344,563.90"
Sensitive Index,370.52,6.10,1.67,"1,087,702,795.50"
Float Index,137.67,2.56,1.89,"3,331,856,745.10"
Sensitive Float Index,122.82,2.07,1.71,"1,081,503,447.50"
Banking SubIndex,"1,212.44",8.89,0.74,"318,029,903.80"
Development Bank Index,"3,719.80",165.55,4.66,"312,562,292.40"
Finance Index,"1,698.49",91.88,5.72,"290,749,081.90"
Hotels And Tourism,"4,192.31",52.45,1.27,"127,208,075.60"
HydroPower Index,"2,527.42",56.04,2.27,"821,556,887.80"
Investment,70.78,3.44,5.11,"208,763,706.90"
Life Insurance,"10,126.56",187.90,1.89,"238,118,065.10"
Manufacturing And Processing,"5,021.82",171.13,3.53,"200,130,741.60"
Microfinance Index,"3,648.56",82.79,2.32,"217,425,137.50"
Mutual Fund,13.90,0.06,0.42,"5,626,517.82"
Non Life Insurance,"10,399.35",165.22,1.61,"367,318,317.60"
Others Index,"1,381.05",27.09,2.00,"160,578,985.90"
Trading Index,"2,545.86",95.17,3.88,"69,415,549.00"
