Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,639.37",-23.19,-0.87,"3,639,468,093.00"
Sensitive Index,494.22,-5.56,-1.11,"3,478,810,000.00"
Float Index,185.92,-1.39,-0.74,"3,477,860,000.00"
Sensitive Float Index,167.61,-1.62,-0.96,"2,584,910,000.00"
Banking SubIndex,"1,855.95",-16.25,-0.87,"917,990,000.00"
Development Bank Index,"4,792.76",-65.38,-1.35,"838,542,000.00"
Finance Index,"2,287.71",-42.75,-1.83,"258,548,000.00"
Hotels And Tourism,"3,000.78",-18.63,-0.62,"14,673,000.00"
HydroPower Index,"2,728.92",-32.93,-1.19,"591,909,000.00"
Investment,86.35,0.91,1.07,"171,356,000.00"
Life Insurance,"14,931.34",-41.06,-0.27,"144,548,000.00"
Manufacturing And Processing,"6,283.63",-18.16,-0.29,"222,572,000.00"
Microfinance Index,"5,282.55",-67.58,-1.26,"633,751,000.00"
Mutual Fund,15.29,0.06,0.38,"64,520,200.00"
Non Life Insurance,"11,877.49",-78.96,-0.66,"255,755,000.00"
Others Index,"1,660.18",-37.52,-2.21,"256,416,000.00"
Trading Index,"2,978.72",-64.49,-2.12,"27,776,200.00"
