Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,607.42",12.17,0.46,"4,681,922,814.96"
Sensitive Index,453.60,1.14,0.25,"2,273,269,804.70"
Float Index,178.87,0.90,0.50,"4,626,799,059.00"
Sensitive Float Index,154.14,0.45,0.29,"2,273,269,804.70"
Banking SubIndex,"1,369.69",7.68,0.56,"331,005,429.50"
Development Bank Index,"5,472.64",3.29,0.06,"210,699,050.00"
Finance Index,"2,382.78",78.72,3.41,"239,660,300.90"
Hotels And Tourism,"6,269.84",-28.85,-0.45,"56,812,412.80"
HydroPower Index,"3,346.90",13.12,0.39,"2,029,083,822.10"
Investment,105.18,0.70,0.67,"293,673,600.90"
Life Insurance,"13,052.59",52.51,0.40,"210,906,205.60"
Manufacturing And Processing,"7,321.56",46.02,0.63,"513,162,641.70"
Microfinance Index,"4,912.16",11.13,0.22,"381,399,487.10"
Mutual Fund,20.22,-0.01,-0.05,"2,318,977.86"
Non Life Insurance,"10,925.28",23.39,0.21,"70,742,716.20"
Others Index,"2,373.80",10.51,0.44,"268,212,715.40"
Trading Index,"3,842.12",16.30,0.42,"21,440,676.80"
