Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,591.42",71.20,2.82,"5,173,200,503.00"
Sensitive Index,482.74,5.38,1.13,"5,231,990,000.00"
Float Index,177.62,4.58,2.65,"5,112,120,000.00"
Sensitive Float Index,155.84,2.19,1.43,"3,719,150,000.00"
Banking SubIndex,"1,737.07",20.45,1.19,"962,169,200.20"
Development Bank Index,"4,420.40",51.58,1.18,"342,680,458.30"
Finance Index,"2,132.13",-24.20,-1.12,"334,538,414.30"
Hotels And Tourism,"3,063.81",48.47,1.61,"25,914,248.50"
HydroPower Index,"2,837.15",-3.46,-0.12,"927,601,275.90"
Investment,81.39,2.38,3.01,"168,886,837.30"
Life Insurance,"14,617.88","1,302.31",9.78,"613,645,590.00"
Manufacturing And Processing,"6,775.75",355.34,5.53,"444,267,102.70"
Microfinance Index,"5,024.32",172.66,3.56,"496,938,537.90"
Mutual Fund,14.99,0.11,0.71,"7,811,152.48"
Non Life Insurance,"12,008.86",907.10,8.17,"518,771,219.90"
Others Index,"2,018.31",50.43,2.56,"255,518,702.70"
Trading Index,"2,693.27",21.33,0.80,"21,190,573.60"
