Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,642.15",-20.75,-0.77,"8,364,424,555.43"
Sensitive Index,452.67,-2.99,-0.65,"2,815,321,157.50"
Float Index,181.67,-1.59,-0.86,"8,220,183,322.40"
Sensitive Float Index,154.40,-1.08,-0.69,"2,815,321,157.50"
Banking SubIndex,"1,357.79",-6.17,-0.45,"413,112,129.20"
Development Bank Index,"5,602.74",-67.35,-1.18,"307,732,070.40"
Finance Index,"2,418.23",-52.34,-2.11,"168,530,195.00"
Hotels And Tourism,"7,159.34",-86.75,-1.19,"148,442,827.50"
HydroPower Index,"3,498.17",-58.14,-1.63,"5,048,997,909.40"
Investment,103.30,-0.50,-0.48,"565,359,056.80"
Life Insurance,"12,601.61",-99.47,-0.78,"260,034,665.80"
Manufacturing And Processing,"9,083.84",-67.26,-0.73,"645,842,791.60"
Microfinance Index,"4,832.27",-24.44,-0.50,"275,916,823.60"
Mutual Fund,21.36,0.10,0.48,"8,234,830.93"
Non Life Insurance,"10,856.30",-82.34,-0.75,"129,529,440.60"
Others Index,"2,302.38",-13.47,-0.58,"246,348,356.50"
Trading Index,"3,740.89",8.37,0.22,"10,337,056.00"
