Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,577.49",-55.93,-2.12,"4,113,814,246.00"
Sensitive Index,485.98,-11.07,-2.23,"4,293,340,000.00"
Float Index,180.86,-3.88,-2.10,"3,852,610,000.00"
Sensitive Float Index,164.12,-3.61,-2.15,"2,876,670,000.00"
Banking SubIndex,"1,840.14",-29.26,-1.57,"887,478,000.00"
Development Bank Index,"4,600.91",-138.41,-2.92,"765,370,000.00"
Finance Index,"2,146.16",-97.12,-4.33,"328,006,000.00"
Hotels And Tourism,"2,986.90",-102.82,-3.33,"25,224,700.00"
HydroPower Index,"2,707.01",-111.61,-3.96,"1,214,700,000.00"
Investment,83.62,-3.33,-3.83,"114,788,000.00"
Life Insurance,"14,296.22",-272.14,-1.87,"160,247,000.00"
Manufacturing And Processing,"6,183.68",-107.45,-1.71,"155,805,000.00"
Microfinance Index,"4,893.19",-69.39,-1.40,"404,496,000.00"
Mutual Fund,14.86,-0.17,-1.12,"18,600,100.00"
Non Life Insurance,"11,346.76",-188.50,-1.63,"285,496,000.00"
Others Index,"1,669.48",-33.92,-1.99,"181,154,000.00"
Trading Index,"3,071.56",-56.63,-1.81,"25,374,900.00"
