Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,947.69",0.27,0.01,"9,290,554,155.00"
Sensitive Index,548.87,0.55,0.10,"10,244,300,000.00"
Float Index,206.38,0.25,0.12,"9,207,980,000.00"
Sensitive Float Index,184.96,0.49,0.27,"6,616,940,000.00"
Banking SubIndex,"1,973.18",16.81,0.86,"1,550,710,000.00"
Development Bank Index,"5,613.37",4.35,0.08,"1,786,720,000.00"
Finance Index,"2,935.38",2.50,0.09,"924,328,000.00"
Hotels And Tourism,"3,555.22",4.13,0.12,"39,241,900.00"
HydroPower Index,"3,480.93",-90.56,-2.54,"3,697,190,000.00"
Investment,103.23,-0.64,-0.62,"318,610,000.00"
Life Insurance,"16,566.05",85.84,0.52,"270,800,000.00"
Manufacturing And Processing,"6,870.27",-93.80,-1.35,"236,886,000.00"
Microfinance Index,"5,547.27",-31.04,-0.56,"666,715,000.00"
Mutual Fund,15.87,0.00,0.02,"28,398,200.00"
Non Life Insurance,"13,619.62",198.86,1.48,"592,083,000.00"
Others Index,"1,881.72",-8.17,-0.43,"387,742,000.00"
Trading Index,"3,430.33",29.53,0.87,"14,208,900.00"
