Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,665.11",54.00,2.07,"7,360,800,500.00"
Sensitive Index,477.81,8.78,1.87,"6,460,950,000.00"
Float Index,183.49,3.36,1.86,"7,211,560,000.00"
Sensitive Float Index,154.85,2.47,1.62,"4,997,630,000.00"
Banking SubIndex,"1,794.02",19.91,1.12,"1,739,740,000.00"
Development Bank Index,"2,864.53",38.24,1.35,"1,261,830,000.00"
Finance Index,"1,255.16",16.07,1.30,"361,825,000.00"
Hotels And Tourism,"3,400.93",111.17,3.38,"97,896,200.00"
HydroPower Index,"2,613.18",37.85,1.47,"1,200,540,000.00"
Investment,98.20,0.75,0.77,"504,778,000.00"
Life Insurance,"17,556.66",632.18,3.74,"477,862,000.00"
Manufacturing And Processing,"5,888.46",150.72,2.62,"410,086,000.00"
Microfinance Index,"5,323.25",104.59,2.00,"1,143,290,000.00"
Mutual Fund,13.44,0.04,0.32,"45,135,000.00"
Non Life Insurance,"13,368.46",448.78,3.47,"962,909,000.00"
Others Index,"2,141.69",94.86,4.63,"1,331,610,000.00"
Trading Index,"3,843.60",79.28,2.11,"44,283,500.00"
