Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,653.58",56.09,2.15,"6,138,206,705.70"
Sensitive Index,476.46,9.75,2.08,"2,181,716,646.70"
Float Index,183.13,3.98,2.22,"5,752,096,319.15"
Sensitive Float Index,157.85,3.52,2.28,"1,342,913,108.90"
Banking SubIndex,"1,521.94",32.83,2.20,"760,083,310.40"
Development Bank Index,"5,284.23",115.02,2.22,"255,107,626.50"
Finance Index,"3,355.22",199.01,6.30,"812,544,135.00"
Hotels And Tourism,"6,520.83",109.74,1.71,"117,364,683.40"
HydroPower Index,"3,202.79",85.36,2.73,"2,003,309,111.75"
Investment,106.80,2.08,1.99,"545,970,005.50"
Life Insurance,"13,034.67",172.75,1.34,"238,798,183.40"
Manufacturing And Processing,"7,248.69",219.76,3.12,"348,785,627.50"
Microfinance Index,"4,934.36",71.57,1.47,"231,329,029.20"
Mutual Fund,20.63,0.03,0.18,"17,283,622.85"
Non Life Insurance,"13,015.05",191.76,1.49,"231,617,669.40"
Others Index,"2,037.53",32.59,1.62,"199,250,434.00"
Trading Index,"3,559.84",32.00,0.90,"66,322,094.00"
