Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,688.55",19.04,0.71,"9,822,070,682.42"
Sensitive Index,457.93,7.08,1.57,"4,855,921,004.90"
Float Index,183.58,1.92,1.05,"9,625,241,101.60"
Sensitive Float Index,155.77,2.54,1.65,"4,855,921,004.90"
Banking SubIndex,"1,395.24",51.35,3.82,"1,729,096,128.20"
Development Bank Index,"5,504.36",-13.04,-0.23,"647,930,574.70"
Finance Index,"2,434.56",-11.28,-0.46,"138,289,609.60"
Hotels And Tourism,"6,923.49",-185.11,-2.60,"304,678,110.10"
HydroPower Index,"3,450.06",-38.54,-1.10,"3,916,406,664.20"
Investment,112.46,-0.44,-0.39,"554,169,770.90"
Life Insurance,"13,379.88",-20.25,-0.15,"451,471,161.60"
Manufacturing And Processing,"7,162.55",-27.47,-0.38,"154,287,440.70"
Microfinance Index,"4,861.42",122.49,2.58,"669,801,109.70"
Mutual Fund,19.68,0.01,0.06,"3,704,776.92"
Non Life Insurance,"12,568.39",0.48,0.00,"326,866,460.30"
Others Index,"2,371.26",-3.13,-0.13,"715,223,533.70"
Trading Index,"4,302.86",-35.22,-0.81,"17,020,537.90"
