Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,986.82",59.54,3.09,"2,044,443,007.47"
Sensitive Index,381.37,12.42,3.37,"1,959,450,000.00"
Float Index,137.16,4.27,3.21,"2,003,750,000.00"
Sensitive Float Index,124.30,4.52,3.78,"1,381,870,000.00"
Banking SubIndex,"1,337.55",24.85,1.89,"550,662,230.60"
Development Bank Index,"3,464.28",203.67,6.25,"550,662,230.60"
Finance Index,"1,568.83",102.13,6.96,"127,086,450.70"
Hotels And Tourism,"2,650.68",96.68,3.79,"9,687,595.70"
HydroPower Index,"2,313.78",104.12,4.71,"443,608,449.40"
Investment,65.06,2.43,3.88,"106,511,892.80"
Life Insurance,"9,638.34",170.34,1.80,"116,100,863.20"
Manufacturing And Processing,"5,068.01",141.03,2.86,"157,188,089.80"
Microfinance Index,"4,327.62",138.67,3.31,"180,894,343.10"
Mutual Fund,14.68,0.59,4.19,"5,310,920.97"
Non Life Insurance,"7,960.92",144.29,1.85,"53,480,660.20"
Others Index,"1,484.04",66.86,4.72,"87,660,791.70"
Trading Index,"2,031.81",103.98,5.39,"25,190,504.00"
