Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,570.25",41.30,1.63,"6,674,423,941.00"
Sensitive Index,455.95,7.06,1.57,"6,729,140,000.00"
Float Index,176.49,2.54,1.46,"6,576,350,000.00"
Sensitive Float Index,148.14,2.20,1.51,"4,444,160,000.00"
Banking SubIndex,"1,783.16",22.55,1.28,"1,485,270,000.00"
Development Bank Index,"2,573.16",21.28,0.83,"1,267,300,000.00"
Finance Index,"1,162.69",22.30,1.96,"290,578,000.00"
Hotels And Tourism,"3,461.55",178.56,5.44,"67,988,500.00"
HydroPower Index,"2,339.25",-14.95,-0.63,"1,362,600,000.00"
Investment,102.53,4.93,5.05,"1,009,230,000.00"
Life Insurance,"17,209.27",141.22,0.83,"304,421,000.00"
Manufacturing And Processing,"5,583.97",51.67,0.93,"104,210,000.00"
Microfinance Index,"4,673.80",122.47,2.69,"1,210,910,000.00"
Mutual Fund,13.27,0.25,1.90,"57,808,400.00"
Non Life Insurance,"13,002.50",221.04,1.73,"850,784,000.00"
Others Index,"1,982.89",20.41,1.04,"1,189,010,000.00"
Trading Index,"4,436.51",381.11,9.40,"101,578,000.00"
