Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,610.63",-10.29,-0.39,"5,017,587,294.33"
Sensitive Index,451.07,-3.22,-0.70,"1,586,282,054.20"
Float Index,178.96,-0.63,-0.35,"4,974,280,775.14"
Sensitive Float Index,153.21,-0.69,-0.45,"1,586,282,054.20"
Banking SubIndex,"1,359.93",-1.93,-0.14,"494,480,047.10"
Development Bank Index,"5,421.57",-44.16,-0.80,"238,545,993.20"
Finance Index,"2,302.20",-2.99,-0.13,"253,092,387.90"
Hotels And Tourism,"6,960.20",43.37,0.62,"246,633,211.00"
HydroPower Index,"3,312.57",-16.57,-0.49,"1,659,679,677.70"
Investment,101.53,-0.33,-0.32,"115,412,363.60"
Life Insurance,"12,813.11",-113.94,-0.88,"185,068,121.40"
Manufacturing And Processing,"8,631.91",89.10,1.04,"990,731,579.50"
Microfinance Index,"4,888.78",-15.81,-0.32,"321,177,750.80"
Mutual Fund,20.51,-0.06,-0.29,"11,209,494.40"
Non Life Insurance,"10,879.21",-94.44,-0.86,"72,744,974.70"
Others Index,"2,328.60",-40.10,-1.69,"383,508,939.54"
Trading Index,"3,770.95",12.92,0.34,"13,205,728.70"
