Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,738.29",54.21,2.02,"10,026,628,116.00"
Sensitive Index,488.14,8.64,1.80,"9,249,840,000.00"
Float Index,188.00,3.98,2.16,"10,275,500,000.00"
Sensitive Float Index,158.29,3.20,2.07,"6,442,610,000.00"
Banking SubIndex,"1,812.64",27.43,1.54,"1,726,550,000.00"
Development Bank Index,"3,021.09",112.59,3.87,"1,707,300,000.00"
Finance Index,"1,363.01",16.06,1.19,"602,720,000.00"
Hotels And Tourism,"3,269.20",35.92,1.11,"46,202,400.00"
HydroPower Index,"2,709.69",30.76,1.15,"2,027,240,000.00"
Investment,102.55,2.04,2.02,"833,408,000.00"
Life Insurance,"17,915.99",528.78,3.04,"766,321,000.00"
Manufacturing And Processing,"6,047.45",63.34,1.06,"272,220,000.00"
Microfinance Index,"5,572.23",103.23,1.89,"1,141,200,000.00"
Mutual Fund,13.61,0.04,0.28,"33,138,100.00"
Non Life Insurance,"14,242.47",584.21,4.28,"2,015,210,000.00"
Others Index,"2,193.92",45.93,2.14,"1,751,770,000.00"
Trading Index,"4,049.14",51.81,1.30,"97,588,500.00"
