Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,518.99",-2.66,-0.11,"3,125,575,632.00"
Sensitive Index,470.98,-0.91,-0.19,"3,264,090,000.00"
Float Index,172.76,-0.32,-0.19,"3,104,070,000.00"
Sensitive Float Index,152.19,-0.23,-0.15,"2,220,380,000.00"
Banking SubIndex,"1,701.37",-8.74,-0.51,"616,405,204.90"
Development Bank Index,"4,254.98",4.83,0.11,"223,484,111.40"
Finance Index,"2,080.16",14.78,0.72,"349,588,417.30"
Hotels And Tourism,"3,006.17",-10.41,-0.35,"8,387,619.60"
HydroPower Index,"2,753.40",24.78,0.91,"673,927,714.20"
Investment,77.98,-0.37,-0.47,"96,471,527.00"
Life Insurance,"14,282.83",-39.25,-0.27,"214,346,231.60"
Manufacturing And Processing,"6,797.09",137.95,2.07,"353,984,693.30"
Microfinance Index,"4,880.44",-26.28,-0.54,"233,500,216.10"
Mutual Fund,14.91,-0.07,-0.46,"7,718,957.06"
Non Life Insurance,"11,358.50",-35.22,-0.31,"144,613,770.60"
Others Index,"1,928.25",3.24,0.17,"180,681,050.50"
Trading Index,"2,641.76",16.69,0.64,"8,676,498.40"
