Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,029.78",44.34,2.23,"3,293,921,368.31"
Sensitive Index,388.72,7.55,1.98,"1,045,433,139.50"
Float Index,140.81,2.97,2.15,"3,063,799,758.60"
Sensitive Float Index,128.44,2.27,1.80,"1,043,040,438.40"
Banking SubIndex,"1,268.65",11.02,0.87,"484,374,453.30"
Development Bank Index,"3,920.67",142.74,3.77,"266,345,814.40"
Finance Index,"1,797.95",75.52,4.38,"150,380,902.00"
Hotels And Tourism,"5,578.26",82.28,1.49,"120,835,848.60"
HydroPower Index,"2,176.48",109.86,5.31,"923,015,331.90"
Investment,71.02,1.71,2.47,"106,025,777.20"
Life Insurance,"10,952.00",180.07,1.67,"368,626,961.40"
Manufacturing And Processing,"5,345.42",147.08,2.82,"219,041,771.90"
Microfinance Index,"3,664.43",82.32,2.29,"170,110,085.00"
Mutual Fund,18.83,0.22,1.22,"15,112,090.32"
Non Life Insurance,"10,765.75",186.99,1.76,"168,419,945.50"
Others Index,"1,479.29",33.88,2.34,"58,481,585.00"
Trading Index,"3,022.94",10.23,0.33,"28,141,282.40"
