Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,042.07",5.00,0.25,"3,162,810,843.58"
Sensitive Index,383.39,-0.30,-0.08,"921,243,946.40"
Float Index,142.02,0.36,0.25,"3,112,606,411.00"
Sensitive Float Index,126.88,-0.31,-0.24,"918,256,505.10"
Banking SubIndex,"1,236.49",-2.39,-0.19,"315,465,969.20"
Development Bank Index,"3,711.06",-12.62,-0.34,"118,513,020.20"
Finance Index,"1,686.96",-16.35,-0.96,"100,582,616.90"
Hotels And Tourism,"4,784.35",208.73,4.56,"261,195,100.30"
HydroPower Index,"2,571.74",-8.43,-0.33,"825,669,666.00"
Investment,71.57,-0.20,-0.28,"115,825,468.90"
Life Insurance,"10,881.60",308.40,2.92,"408,133,745.80"
Manufacturing And Processing,"5,388.85",8.32,0.15,"282,057,420.50"
Microfinance Index,"3,803.36",-21.76,-0.57,"185,944,488.50"
Mutual Fund,14.08,0.01,0.09,"3,427,859.48"
Non Life Insurance,"10,694.90",143.61,1.36,"400,621,359.80"
Others Index,"1,438.40",2.97,0.21,"83,534,330.50"
Trading Index,"2,538.93",-44.95,-1.74,"15,063,224.40"
