Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,965.98",32.43,1.68,"2,025,489,052.13"
Sensitive Index,386.26,5.34,1.40,"997,686,565.60"
Float Index,138.71,3.14,2.32,"1,996,143,017.60"
Sensitive Float Index,126.95,2.16,1.73,"995,564,221.60"
Banking SubIndex,"1,377.60",19.18,1.41,"330,189,053.90"
Development Bank Index,"3,514.33",64.07,1.86,"138,875,587.30"
Finance Index,"1,642.87",35.77,2.23,"116,894,793.50"
Hotels And Tourism,"2,734.13",36.34,1.35,"8,143,832.30"
HydroPower Index,"2,053.87",37.54,1.86,"295,561,303.60"
Investment,57.93,0.73,1.28,"47,747,023.90"
Life Insurance,"9,181.63",99.40,1.09,"54,771,166.40"
Manufacturing And Processing,"5,283.91",114.14,2.21,"545,167,045.00"
Microfinance Index,"4,384.99",130.44,3.07,"257,252,006.90"
Mutual Fund,13.41,-0.13,-0.96,"2,241,178.14"
Non Life Insurance,"7,699.63",76.29,1.00,"69,984,748.80"
Others Index,"1,478.71",18.46,1.27,"122,346,093.00"
Trading Index,"1,875.22",27.08,1.47,"9,210,363.00"
