Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,510.73",-77.33,-2.99,"3,783,422,995.00"
Sensitive Index,471.91,-13.28,-2.74,"3,737,640,000.00"
Float Index,176.08,-5.79,-3.18,"3,606,490,000.00"
Sensitive Float Index,158.85,-5.14,-3.13,"2,649,760,000.00"
Banking SubIndex,"1,773.42",-51.66,-2.83,"921,196,000.00"
Development Bank Index,"4,510.46",-194.97,-4.14,"796,579,000.00"
Finance Index,"2,091.63",-112.14,-5.09,"318,767,000.00"
Hotels And Tourism,"2,927.51",-88.29,-2.93,"17,514,000.00"
HydroPower Index,"2,522.18",-117.99,-4.47,"878,048,000.00"
Investment,81.94,-2.40,-2.85,"105,312,000.00"
Life Insurance,"14,262.83",-428.39,-2.92,"167,902,000.00"
Manufacturing And Processing,"5,964.91",-175.32,-2.86,"136,654,000.00"
Microfinance Index,"4,980.41",-135.82,-2.65,"505,406,000.00"
Mutual Fund,14.80,-0.17,-1.14,"30,507,300.00"
Non Life Insurance,"11,258.23",-314.08,-2.71,"318,054,000.00"
Others Index,"1,627.46",-33.32,-2.01,"174,624,000.00"
Trading Index,"2,987.15",-51.93,-1.71,"14,586,700.00"
