Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,824.90",4.45,0.15,"14,329,604,315.89"
Sensitive Index,486.80,0.41,0.08,"5,081,527,200.30"
Float Index,195.22,0.14,0.07,"13,899,019,986.14"
Sensitive Float Index,166.01,0.18,0.11,"5,081,527,200.30"
Banking SubIndex,"1,487.73",3.16,0.21,"1,278,421,707.50"
Development Bank Index,"6,085.48",45.29,0.74,"526,053,094.60"
Finance Index,"2,603.20",6.02,0.23,"450,142,434.80"
Hotels And Tourism,"7,455.03",-46.61,-0.62,"175,604,285.10"
HydroPower Index,"3,781.81",2.28,0.06,"9,292,184,179.54"
Investment,110.51,-0.60,-0.54,"409,161,321.80"
Life Insurance,"13,446.03",-62.32,-0.46,"298,988,768.80"
Manufacturing And Processing,"9,650.79",12.35,0.12,"666,286,253.40"
Microfinance Index,"5,065.24",7.83,0.15,"362,223,250.40"
Mutual Fund,21.81,-0.05,-0.25,"15,233,986.71"
Non Life Insurance,"11,526.65",19.49,0.16,"154,149,562.60"
Others Index,"2,386.64",0.76,0.03,"265,981,824.30"
Trading Index,"3,827.51",105.46,2.83,"19,823,303.30"
