Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,611.10",25.82,1.00,"4,357,019,249.00"
Sensitive Index,469.02,3.91,0.84,"3,890,900,000.00"
Float Index,180.13,1.71,0.96,"4,238,400,000.00"
Sensitive Float Index,152.37,1.17,0.78,"2,771,570,000.00"
Banking SubIndex,"1,774.16",7.55,0.43,"1,111,920,000.00"
Development Bank Index,"2,825.64",27.30,0.98,"667,283,000.00"
Finance Index,"1,239.09",5.23,0.42,"218,330,000.00"
Hotels And Tourism,"3,289.76",-27.77,-0.84,"41,157,800.00"
HydroPower Index,"2,575.33",80.20,3.21,"989,173,000.00"
Investment,97.45,-0.11,-0.12,"358,526,000.00"
Life Insurance,"16,924.48",142.88,0.85,"212,829,000.00"
Manufacturing And Processing,"5,735.95",103.68,1.84,"280,942,000.00"
Microfinance Index,"5,218.52",44.36,0.86,"520,723,000.00"
Mutual Fund,13.40,0.01,0.09,"21,380,500.00"
Non Life Insurance,"12,919.67",124.80,0.98,"456,662,000.00"
Others Index,"2,046.83",50.73,2.54,"593,745,000.00"
Trading Index,"3,761.03",126.54,3.48,"24,502,400.00"
