Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,718.49",10.82,0.63,"4,256,475,891.00"
Sensitive Index,338.89,3.27,0.97,"4,025,740,000.00"
Float Index,117.82,0.45,0.39,"4,043,820,000.00"
Sensitive Float Index,109.26,0.62,0.57,"3,126,900,000.00"
Banking SubIndex,"1,321.05",10.21,0.78,"1,100,620,000.00"
Development Bank Index,"2,090.53",-4.47,-0.21,"435,932,000.00"
Finance Index,867.03,-3.65,-0.42,"511,606,000.00"
Hotels And Tourism,"1,897.36",-18.41,-0.96,"25,954,600.00"
HydroPower Index,"1,445.06",-6.45,-0.44,"493,378,000.00"
Life Insurance,"10,229.34",-28.92,-0.28,"377,819,000.00"
Manufacturing And Processing,"3,393.69",-30.86,-0.90,"326,433,000.00"
Microfinance Index,"2,708.20",-1.71,-0.06,"310,296,000.00"
Mutual Fund,11.55,0.01,0.13,"36,914,300.00"
Non Life Insurance,"8,814.00",39.16,0.45,"836,266,000.00"
Others Index,"1,282.57",28.39,2.26,"726,727,000.00"
Trading Index,"1,814.46",164.71,9.98,"35,144,300.00"
