Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,754.29",53.30,1.97,"3,233,318,614.47"
Sensitive Index,522.13,10.83,2.12,"3,488,050,000.00"
Float Index,187.12,3.38,1.84,"3,150,920,000.00"
Sensitive Float Index,165.34,2.87,1.76,"2,097,720,000.00"
Banking SubIndex,"1,751.29",14.57,0.84,"399,646,991.60"
Development Bank Index,"4,821.89",127.35,2.71,"222,459,703.50"
Finance Index,"2,368.49",65.68,2.85,"151,546,113.90"
Hotels And Tourism,"3,103.11",49.82,1.63,"11,375,813.50"
HydroPower Index,"3,339.02",138.12,4.32,"1,027,922,890.70"
Investment,92.99,2.26,2.49,"217,447,127.40"
Life Insurance,"15,109.05",187.03,1.25,"203,161,961.10"
Manufacturing And Processing,"6,947.43",37.08,0.54,"248,977,158.30"
Microfinance Index,"5,307.01",145.76,2.82,"294,859,302.60"
Mutual Fund,15.84,0.03,0.20,"6,576,398.88"
Non Life Insurance,"12,563.98",185.00,1.49,"162,070,077.80"
Others Index,"2,315.93",75.63,3.38,"206,743,239.70"
Trading Index,"2,944.39",39.09,1.35,"4,705,430.00"
