Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,780.43",-2.38,-0.13,"4,762,704,611.00"
Sensitive Index,344.95,-0.12,-0.03,"4,810,330,000.00"
Float Index,121.82,0.01,0.01,"4,674,980,000.00"
Sensitive Float Index,111.19,-0.06,-0.05,"3,821,660,000.00"
Banking SubIndex,"1,357.97",6.05,0.45,"1,584,850,000.00"
Development Bank Index,"2,110.58",-1.80,-0.09,"468,354,000.00"
Finance Index,883.29,-1.76,-0.20,"376,233,000.00"
Hotels And Tourism,"2,110.79",76.69,3.77,"74,626,300.00"
HydroPower Index,"1,424.90",-1.75,-0.12,"328,323,000.00"
Life Insurance,"10,665.65",-182.40,-1.68,"435,644,000.00"
Manufacturing And Processing,"3,878.55",133.98,3.58,"437,045,000.00"
Microfinance Index,"2,743.38",-20.91,-0.76,"254,043,000.00"
Mutual Fund,11.34,-0.17,-1.47,"20,677,800.00"
Non Life Insurance,"9,241.52",-125.97,-1.34,"1,077,340,000.00"
Others Index,"1,355.97",-16.07,-1.17,"677,506,000.00"
Trading Index,"2,098.35",29.17,1.41,"27,056,600.00"
