Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,441.85",18.76,0.77,"8,006,238,770.00"
Sensitive Index,446.38,-0.86,-0.19,"8,584,760,000.00"
Float Index,166.80,1.21,0.73,"7,928,810,000.00"
Sensitive Float Index,142.76,-0.54,-0.38,"6,823,560,000.00"
Banking SubIndex,"1,752.71",-10.12,-0.57,"2,196,640,000.00"
Development Bank Index,"2,520.30",-6.23,-0.25,"1,229,740,000.00"
Finance Index,"1,170.25",-6.77,-0.57,"606,326,000.00"
Hotels And Tourism,"2,048.50",-24.39,-1.18,"29,746,000.00"
HydroPower Index,"1,894.35",-4.07,-0.21,"626,222,000.00"
Life Insurance,"17,870.15",1.00,6.25,"1,562,830,000.00"
Manufacturing And Processing,"5,927.33",-33.75,-0.57,"210,113,000.00"
Microfinance Index,"4,069.17",67.51,1.69,"1,108,910,000.00"
Mutual Fund,12.28,0.03,0.27,"20,044,100.00"
Non Life Insurance,"12,151.78",464.68,3.98,"2,878,260,000.00"
Others Index,"1,946.76",-2.19,-0.11,"496,944,000.00"
Trading Index,"2,925.48",32.96,1.14,"15,707,300.00"
