Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,336.52",75.77,6.01,"407,352,247.00"
Sensitive Index,287.02,15.10,5.55,"360,993,000.00"
Float Index,94.48,5.62,6.32,"331,308,000.00"
Sensitive Float Index,94.37,5.62,6.33,"302,346,000.00"
Banking SubIndex,"1,172.30",82.30,7.55,"111,282,000.00"
Development Bank Index,"1,747.39",57.06,3.38,"39,208,100.00"
Finance Index,634.86,4.75,0.75,"41,681,500.00"
Hotels And Tourism,"1,477.26",-5.15,-0.35,"793,273.00"
HydroPower Index,959.77,33.67,3.64,"5,730,970.00"
Life Insurance,"7,930.57",548.53,7.43,"82,213,400.00"
Manufacturing And Processing,"2,718.37",102.57,3.92,"68,455,000.00"
Microfinance Index,"2,147.85",101.23,4.95,"23,698,100.00"
Mutual Fund,9.60,0.01,0.10,"21,681.60"
Non Life Insurance,"5,659.35",322.41,6.04,"94,672,200.00"
Others Index,706.73,20.94,3.05,"34,272,100.00"
Trading Index,889.60,33.48,3.91,"172,310.00"
