Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,255.72",42.61,3.51,"1,335,747,967.00"
Sensitive Index,272.73,8.47,3.21,"1,384,340,000.00"
Float Index,93.38,3.22,3.57,"1,291,040,000.00"
Sensitive Float Index,89.10,3.00,3.48,"1,142,350,000.00"
Banking SubIndex,"1,112.31",27.30,2.52,"357,041,000.00"
Development Bank Index,"1,690.77",43.33,2.63,"375,244,000.00"
Finance Index,599.02,13.92,2.38,"83,917,500.00"
Hotels And Tourism,"1,977.98",75.84,3.99,"16,770,200.00"
HydroPower Index,985.71,31.07,3.25,"57,328,200.00"
Life Insurance,"6,376.71",409.27,6.86,"151,597,000.00"
Manufacturing And Processing,"2,434.30",34.54,1.44,"48,256,600.00"
Microfinance Index,"1,988.61",122.20,6.55,"362,595,000.00"
Mutual Fund,9.72,0.24,2.53,"1,514,420.00"
Non Life Insurance,"5,088.50",384.21,8.17,"344,373,000.00"
Others Index,675.25,17.93,2.73,"28,310,500.00"
Trading Index,686.13,11.59,1.72,"17,134,100.00"
