Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,662.58",-18.53,-0.69,"4,498,043,581.00"
Sensitive Index,499.78,-4.96,-0.98,"4,355,500,000.00"
Float Index,187.31,-0.97,-0.52,"4,450,800,000.00"
Sensitive Float Index,169.23,-1.36,-0.80,"3,179,000,000.00"
Banking SubIndex,"1,872.20",-6.33,-0.34,"989,932,000.00"
Development Bank Index,"4,830.15",-58.02,-1.19,"1,138,280,000.00"
Finance Index,"2,329.98",6.76,0.29,"500,394,000.00"
Hotels And Tourism,"3,019.41",-58.40,-1.90,"15,242,200.00"
HydroPower Index,"2,761.98",-33.05,-1.18,"693,115,000.00"
Investment,85.44,-0.61,-0.71,"106,538,000.00"
Life Insurance,"14,940.59",73.86,0.50,"173,373,000.00"
Manufacturing And Processing,"6,301.78",-205.95,-3.16,"226,577,000.00"
Microfinance Index,"5,352.09",-45.92,-0.85,"1,154,990,000.00"
Mutual Fund,15.24,0.11,0.76,"7,806,540.00"
Non Life Insurance,"11,955.89",-53.31,-0.44,"319,208,000.00"
Others Index,"1,706.62",-27.65,-1.59,"157,106,000.00"
Trading Index,"3,043.21",-14.37,-0.47,"10,900,400.00"
