Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,095.25",-17.04,-0.80,"5,472,253,551.85"
Sensitive Index,370.93,-3.25,-0.86,"1,284,794,499.40"
Float Index,142.14,-1.19,-0.83,"5,392,551,106.70"
Sensitive Float Index,121.56,-1.24,-1.00,"1,276,470,106.80"
Banking SubIndex,"1,112.36",-9.57,-0.85,"175,609,486.20"
Development Bank Index,"4,093.78",-49.91,-1.20,"215,985,592.90"
Finance Index,"2,263.55",-17.01,-0.74,"899,097,907.40"
Hotels And Tourism,"5,422.03",2.30,0.04,"109,091,571.80"
HydroPower Index,"2,606.35",-6.15,-0.23,"1,976,668,258.70"
Investment,76.89,-0.63,-0.82,"446,669,680.20"
Life Insurance,"10,192.77",-37.09,-0.36,"204,672,780.00"
Manufacturing And Processing,"6,530.66",-62.94,-0.95,"175,653,843.90"
Microfinance Index,"4,625.09",-80.56,-1.71,"817,475,857.50"
Mutual Fund,18.93,-0.03,-0.18,"4,191,982.05"
Non Life Insurance,"10,677.72",-68.21,-0.63,"129,832,635.50"
Others Index,"1,609.93",-18.36,-1.12,"262,566,094.70"
Trading Index,"2,944.60",-2.73,-0.09,"9,032,561.00"
