Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,715.35",26.44,0.98,"4,734,651,444.00"
Sensitive Index,506.54,4.10,0.82,"5,105,060,000.00"
Float Index,188.69,1.67,0.89,"4,680,980,000.00"
Sensitive Float Index,169.06,1.37,0.82,"3,500,700,000.00"
Banking SubIndex,"1,811.68",0.96,0.05,"560,198,452.20"
Development Bank Index,"5,498.64",141.47,2.64,"1,130,226,300.40"
Finance Index,"2,567.78",57.84,2.30,"464,057,509.30"
Hotels And Tourism,"3,294.18",58.54,1.81,"18,569,353.00"
HydroPower Index,"3,047.87",50.05,1.67,"1,138,094,885.70"
Investment,88.00,1.69,1.96,"376,394,568.90"
Life Insurance,"15,159.26",113.24,0.75,"205,323,258.00"
Manufacturing And Processing,"6,502.49",109.49,1.71,"130,350,574.70"
Microfinance Index,"5,316.48",63.38,1.21,"472,735,773.90"
Mutual Fund,15.48,0.03,0.21,"799,959.00"
Non Life Insurance,"12,437.56",212.40,1.74,"115,534,516.10"
Others Index,"1,879.62",18.31,0.98,"61,748,353.30"
Trading Index,"3,113.41",55.94,1.83,"7,741,619.30"
