Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,127.47",15.49,0.73,"4,976,433,105.02"
Sensitive Index,405.62,2.70,0.67,0.00
Float Index,147.21,1.11,0.76,0.00
Sensitive Float Index,134.16,1.00,0.75,0.00
Banking SubIndex,"1,389.00",1.66,0.12,"433,404,519.50"
Development Bank Index,"3,892.54",85.42,2.24,"534,757,314.90"
Finance Index,"1,970.93",59.77,3.13,"598,089,101.60"
Hotels And Tourism,"2,856.84",64.96,2.33,"64,035,713.50"
HydroPower Index,"2,542.98",29.98,1.19,"1,562,629,163.70"
Investment,70.16,2.01,2.95,"312,598,362.90"
Life Insurance,"9,950.53",15.11,0.15,"170,860,876.20"
Manufacturing And Processing,"5,345.00",-24.71,-0.46,"278,256,038.60"
Microfinance Index,"4,914.65",70.73,1.46,"760,333,967.10"
Mutual Fund,14.92,0.07,0.46,"7,175,512.59"
Non Life Insurance,"8,305.09",-0.55,-0.01,"91,193,262.70"
Others Index,"1,593.91",-3.25,-0.20,"108,875,208.50"
Trading Index,"2,074.59",4.73,0.23,"12,038,565.10"
