Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,037.64",74.93,3.82,"2,458,619,494.89"
Sensitive Index,391.78,12.63,3.33,0.00
Float Index,140.46,5.22,3.86,0.00
Sensitive Float Index,127.80,4.71,3.83,0.00
Banking SubIndex,"1,380.55",29.68,2.20,"318,234,429.00"
Development Bank Index,"3,538.09",204.44,6.13,"227,525,595.00"
Finance Index,"1,537.29",100.28,6.98,"141,242,902.70"
Hotels And Tourism,"2,732.44",127.11,4.88,"25,780,319.70"
HydroPower Index,"2,287.67",106.01,4.86,"674,441,008.30"
Investment,67.08,2.20,3.39,"136,567,107.90"
Life Insurance,"9,969.52",296.05,3.06,"200,003,523.10"
Manufacturing And Processing,"5,143.65",250.42,5.12,"184,597,537.00"
Microfinance Index,"4,458.31",204.42,4.81,"316,767,651.20"
Mutual Fund,14.75,0.38,2.67,"13,417,562.74"
Non Life Insurance,"8,290.81",378.20,4.78,"108,574,919.20"
Others Index,"1,538.84",86.02,5.92,"84,354,302.00"
Trading Index,"1,860.50",126.70,7.31,"13,147,806.80"
