Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,980.27",14.33,0.72,"2,682,586,955.82"
Sensitive Index,350.80,2.62,0.75,"727,894,653.50"
Float Index,133.99,1.02,0.77,"2,638,897,039.30"
Sensitive Float Index,114.19,0.90,0.80,"721,735,369.40"
Banking SubIndex,"1,030.36",2.55,0.24,"209,725,980.80"
Development Bank Index,"3,934.31",85.85,2.23,"181,261,969.80"
Finance Index,"2,136.04",81.89,3.98,"862,756,372.00"
Hotels And Tourism,"4,969.96",38.33,0.77,"28,686,092.80"
HydroPower Index,"2,406.69",10.51,0.43,"609,321,200.50"
Investment,73.95,0.33,0.45,"67,149,177.30"
Life Insurance,"10,052.43",72.30,0.72,"157,888,156.60"
Manufacturing And Processing,"6,529.25",5.09,0.07,"145,601,737.60"
Microfinance Index,"3,975.71",54.91,1.40,"235,708,476.80"
Mutual Fund,18.14,0.07,0.41,"2,388,869.02"
Non Life Insurance,"10,313.98",108.31,1.06,"84,846,394.00"
Others Index,"1,646.12",10.76,0.65,"70,924,145.20"
Trading Index,"2,721.73",-9.52,-0.34,"6,734,923.00"
