Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,419.80",-44.56,-1.81,"2,260,786,628.14"
Sensitive Index,454.87,-8.87,-1.91,"2,044,730,000.00"
Float Index,164.84,-2.66,-1.59,"2,243,750,000.00"
Sensitive Float Index,145.14,-2.23,-1.51,"1,530,300,000.00"
Banking SubIndex,"1,599.74",-12.23,-0.76,"393,711,461.40"
Development Bank Index,"4,178.09",-64.18,-1.51,"148,059,275.70"
Finance Index,"1,876.29",-45.83,-2.38,"102,491,599.90"
Hotels And Tourism,"3,069.65",-71.21,-2.27,"24,819,771.50"
HydroPower Index,"2,785.74",-61.17,-2.15,"514,425,170.80"
Investment,80.66,-1.94,-2.35,"170,586,177.40"
Life Insurance,"13,271.05",-431.82,-3.15,"362,125,644.80"
Manufacturing And Processing,"5,734.90",-128.95,-2.20,"130,692,414.30"
Microfinance Index,"4,790.44",-51.59,-1.07,"187,126,197.70"
Mutual Fund,15.33,-0.11,-0.70,"8,157,021.44"
Non Life Insurance,"11,288.84",-155.59,-1.36,"126,978,941.20"
Others Index,"1,878.68",-91.04,-4.62,"75,978,104.60"
Trading Index,"2,258.47",-64.62,-2.78,"6,751,877.00"
