Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,968.27",75.02,3.96,"9,227,348,348.00"
Sensitive Index,383.93,18.76,5.14,"8,971,370,000.00"
Float Index,134.83,6.29,4.90,"8,997,080,000.00"
Sensitive Float Index,123.97,7.40,6.35,"7,687,580,000.00"
Banking SubIndex,"1,549.89",112.32,7.81,"4,313,000,000.00"
Development Bank Index,"2,318.10",173.84,8.11,"1,096,660,000.00"
Finance Index,911.21,12.27,1.37,"761,019,000.00"
Hotels And Tourism,"2,023.52",-7.68,-0.38,"52,206,200.00"
HydroPower Index,"1,504.46",26.66,1.80,"610,770,000.00"
Life Insurance,"11,216.03",245.75,2.24,"765,851,000.00"
Manufacturing And Processing,"4,368.82",-37.27,-0.85,"499,855,000.00"
Microfinance Index,"2,886.94",27.75,0.97,"429,070,000.00"
Mutual Fund,11.72,0.05,0.41,"56,028,000.00"
Non Life Insurance,"9,675.15",-45.55,-0.47,"1,473,800,000.00"
Others Index,"1,528.30",0.25,0.02,"954,527,000.00"
Trading Index,"2,284.94",-35.37,-1.52,"36,858,400.00"
