Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,696.67",-4.64,-0.17,"4,427,298,446.66"
Sensitive Index,470.79,-0.70,-0.14,"1,369,521,438.00"
Float Index,185.22,-0.31,-0.16,"4,379,490,102.54"
Sensitive Float Index,159.70,-0.18,-0.11,"1,369,521,438.00"
Banking SubIndex,"1,489.62",-1.13,-0.07,"666,198,466.50"
Development Bank Index,"5,722.99",-10.97,-0.19,"246,670,617.90"
Finance Index,"2,449.52",1.48,0.06,"451,613,233.00"
Hotels And Tourism,"7,388.24",13.68,0.18,"113,453,874.80"
HydroPower Index,"3,749.73",5.94,0.15,"1,885,394,587.14"
Investment,98.98,-0.76,-0.76,"181,251,031.60"
Life Insurance,"12,093.88",-70.87,-0.58,"69,393,914.10"
Manufacturing And Processing,"10,764.11",-28.70,-0.26,"506,127,844.00"
Microfinance Index,"4,649.51",-6.23,-0.13,"99,000,388.20"
Mutual Fund,21.14,-0.09,-0.46,"8,853,700.33"
Non Life Insurance,"10,848.47",-26.70,-0.24,"36,705,112.40"
Others Index,"1,953.28",-15.84,-0.80,"106,145,827.90"
Trading Index,"3,397.01",25.00,0.74,"17,535,205.00"
