Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,506.68",90.67,3.75,"6,058,104,317.00"
Sensitive Index,451.46,14.67,3.36,"5,650,810,000.00"
Float Index,172.77,6.20,3.72,"5,940,060,000.00"
Sensitive Float Index,146.79,4.54,3.19,"4,436,350,000.00"
Banking SubIndex,"1,808.13",52.04,2.96,"1,631,660,000.00"
Development Bank Index,"2,570.41",61.99,2.47,"995,528,000.00"
Finance Index,"1,147.30",31.01,2.78,"344,382,000.00"
Hotels And Tourism,"2,234.68",64.87,2.99,"15,109,500.00"
HydroPower Index,"2,000.54",91.19,4.78,"692,309,000.00"
Investment,98.39,4.91,5.26,"655,824,000.00"
Life Insurance,"16,933.35",571.95,3.50,"490,979,000.00"
Manufacturing And Processing,"5,406.08",190.68,3.66,"177,972,000.00"
Microfinance Index,"4,340.31",209.06,5.06,"838,540,000.00"
Mutual Fund,12.97,0.02,0.19,"81,281,100.00"
Non Life Insurance,"12,771.01",324.46,2.61,"1,271,640,000.00"
Others Index,"2,012.31",103.87,5.44,"1,014,380,000.00"
Trading Index,"3,873.92",256.71,7.10,"70,477,100.00"
