Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,850.37",18.30,0.64,"8,537,581,254.95"
Sensitive Index,490.16,2.61,0.53,"3,525,431,496.70"
Float Index,195.64,1.06,0.54,"8,339,945,019.50"
Sensitive Float Index,167.62,0.89,0.53,"3,525,431,496.70"
Banking SubIndex,"1,484.79",6.35,0.43,"716,012,931.60"
Development Bank Index,"6,011.91",25.39,0.42,"612,429,804.20"
Finance Index,"2,586.45",35.29,1.38,"278,141,731.50"
Hotels And Tourism,"6,964.24",42.15,0.60,"112,061,262.80"
HydroPower Index,"3,720.07",27.76,0.75,"3,471,358,865.00"
Investment,114.23,0.34,0.30,"382,869,286.10"
Life Insurance,"13,402.68",101.92,0.76,"234,337,784.00"
Manufacturing And Processing,"7,737.41",86.13,1.12,"654,073,137.30"
Microfinance Index,"5,463.04",19.94,0.36,"1,094,709,469.50"
Mutual Fund,20.54,0.06,0.32,"93,321,405.06"
Non Life Insurance,"12,749.00",54.04,0.42,"119,197,817.30"
Others Index,"2,621.30",26.80,1.03,"647,908,923.70"
Trading Index,"4,297.17",42.53,0.99,"16,844,006.50"
