Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,671.07",8.97,0.33,"11,102,550,966.55"
Sensitive Index,456.72,1.51,0.33,"3,470,282,846.50"
Float Index,183.83,0.85,0.46,"10,906,875,932.00"
Sensitive Float Index,155.90,0.56,0.36,"3,470,282,846.50"
Banking SubIndex,"1,364.72",4.75,0.34,"386,120,859.30"
Development Bank Index,"5,696.77",66.80,1.18,"493,178,260.30"
Finance Index,"2,456.78",8.59,0.35,"211,157,152.70"
Hotels And Tourism,"7,214.45",-121.34,-1.65,"256,109,610.00"
HydroPower Index,"3,593.05",34.65,0.97,"7,437,665,157.20"
Investment,104.45,0.65,0.62,"345,499,491.40"
Life Insurance,"12,759.14",63.22,0.49,"208,457,571.10"
Manufacturing And Processing,"9,106.27",55.04,0.60,"868,718,620.60"
Microfinance Index,"4,868.13",-0.69,-0.01,"275,030,563.60"
Mutual Fund,21.30,0.04,0.21,"6,613,647.36"
Non Life Insurance,"10,989.78",-16.27,-0.14,"106,878,972.80"
Others Index,"2,317.58",-6.21,-0.26,"299,740,199.50"
Trading Index,"3,758.09",-3.57,-0.09,"18,319,473.50"
