Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,342.76",15.87,0.68,"6,210,966,026.00"
Sensitive Index,443.00,0.18,0.04,"6,245,780,000.00"
Float Index,160.35,1.31,0.82,"6,017,590,000.00"
Sensitive Float Index,142.30,0.27,0.19,"5,019,730,000.00"
Banking SubIndex,"1,727.89",-2.43,-0.14,"1,792,230,000.00"
Development Bank Index,"2,524.59",2.01,0.08,"939,003,000.00"
Finance Index,"1,124.59",45.96,4.26,"690,101,000.00"
Hotels And Tourism,"2,005.91",-22.77,-1.12,"16,374,400.00"
HydroPower Index,"1,810.06",53.59,3.05,"486,026,000.00"
Life Insurance,"16,339.54",729.37,4.67,"931,638,000.00"
Manufacturing And Processing,"5,943.16",-62.94,-1.05,"145,715,000.00"
Microfinance Index,"3,854.28",29.19,0.76,"654,564,000.00"
Mutual Fund,12.23,0.02,0.13,"49,751,900.00"
Non Life Insurance,"10,942.08",185.98,1.73,"1,784,520,000.00"
Others Index,"1,821.92",-11.77,-0.64,"526,574,000.00"
Trading Index,"2,965.05",-8.92,-0.30,"24,737,000.00"
