Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,452.07",-46.46,-1.86,"2,671,232,388.39"
Sensitive Index,458.23,-8.34,-1.79,"2,619,660,000.00"
Float Index,167.06,-2.88,-1.69,"2,634,140,000.00"
Sensitive Float Index,146.61,-2.25,-1.51,"1,911,010,000.00"
Banking SubIndex,"1,611.33",-18.80,-1.15,"497,799,018.40"
Development Bank Index,"4,220.55",-83.99,-1.95,"193,168,533.80"
Finance Index,"1,928.72",-53.85,-2.72,"141,871,759.70"
Hotels And Tourism,"3,051.05",15.12,0.50,"22,052,820.16"
HydroPower Index,"2,849.55",-60.15,-2.07,"577,864,451.20"
Investment,82.98,-1.53,-1.81,"152,272,986.70"
Life Insurance,"13,511.23",-432.28,-3.10,"347,403,118.90"
Manufacturing And Processing,"5,839.05",-43.20,-0.73,"150,393,599.30"
Microfinance Index,"4,832.07",-68.33,-1.39,"205,861,892.20"
Mutual Fund,15.31,-0.28,-1.80,"6,041,178.52"
Non Life Insurance,"11,527.08",-346.84,-2.92,"255,346,195.20"
Others Index,"1,895.41",-71.96,-3.66,"84,276,321.60"
Trading Index,"2,328.07",-44.06,-1.86,"5,831,593.40"
