Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,543.52",-5.45,-0.21,"4,410,345,030.00"
Sensitive Index,449.92,-0.39,-0.09,"3,892,770,000.00"
Float Index,174.86,-0.12,-0.07,"4,345,630,000.00"
Sensitive Float Index,146.48,0.01,0.01,"2,498,360,000.00"
Banking SubIndex,"1,756.57",-6.72,-0.38,"713,264,000.00"
Development Bank Index,"2,552.75",-0.48,-0.02,"755,736,000.00"
Finance Index,"1,165.01",5.20,0.45,"185,146,000.00"
Hotels And Tourism,"3,476.43",-144.82,-4.00,"378,496,000.00"
HydroPower Index,"2,319.48",24.52,1.07,"777,745,000.00"
Investment,103.66,-0.06,-0.06,"625,596,000.00"
Life Insurance,"17,008.82",-30.65,-0.18,"176,107,000.00"
Manufacturing And Processing,"5,513.80",-20.18,-0.36,"123,065,000.00"
Microfinance Index,"4,670.76",44.50,0.96,"765,261,000.00"
Mutual Fund,13.11,-0.06,-0.44,"27,281,900.00"
Non Life Insurance,"12,926.45",-21.90,-0.17,"612,520,000.00"
Others Index,"1,926.45",-19.21,-0.99,"1,107,120,000.00"
Trading Index,"4,398.57",-212.83,-4.62,"38,568,300.00"
