Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,942.63",51.31,2.71,"2,200,023,945.86"
Sensitive Index,367.72,8.83,2.46,"761,926,667.50"
Float Index,135.66,3.42,2.58,"2,116,558,081.80"
Sensitive Float Index,122.24,2.84,2.37,"758,662,430.30"
Banking SubIndex,"1,244.11",21.28,1.74,"345,218,179.00"
Development Bank Index,"3,592.72",82.86,2.36,"98,931,672.20"
Finance Index,"1,648.29",51.54,3.23,"82,903,422.60"
Hotels And Tourism,"3,838.49",131.07,3.54,"93,862,109.70"
HydroPower Index,"2,436.09",64.84,2.73,"480,331,601.40"
Investment,66.83,1.83,2.81,"98,835,692.20"
Life Insurance,"9,982.57",365.34,3.80,"178,553,651.20"
Manufacturing And Processing,"4,701.27",183.00,4.05,"218,674,900.60"
Microfinance Index,"3,535.56",137.11,4.03,"162,267,707.10"
Mutual Fund,13.80,0.08,0.55,"2,701,685.67"
Non Life Insurance,"9,437.02",355.21,3.91,"237,161,369.80"
Others Index,"1,380.71",31.98,2.37,"106,110,811.40"
Trading Index,"2,195.76",80.31,3.80,"13,706,964.60"
