Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,741.81",23.32,1.36,"4,791,041,649.00"
Sensitive Index,338.09,-0.80,-0.24,"4,569,210,000.00"
Float Index,119.11,1.29,1.10,"4,641,920,000.00"
Sensitive Float Index,109.21,-0.05,-0.04,"3,695,130,000.00"
Banking SubIndex,"1,319.78",-1.28,-0.10,"1,184,770,000.00"
Development Bank Index,"2,069.93",-20.60,-0.99,"463,386,000.00"
Finance Index,875.47,8.43,0.97,"387,745,000.00"
Hotels And Tourism,"1,936.96",39.60,2.09,"53,625,500.00"
HydroPower Index,"1,426.44",-18.61,-1.29,"446,735,000.00"
Life Insurance,"10,750.71",521.37,5.10,"626,722,000.00"
Manufacturing And Processing,"3,629.14",235.45,6.94,"324,095,000.00"
Microfinance Index,"2,722.80",14.60,0.54,"274,460,000.00"
Mutual Fund,11.70,0.16,1.35,"21,902,400.00"
Non Life Insurance,"9,211.48",397.48,4.51,"1,341,900,000.00"
Others Index,"1,312.54",29.97,2.34,"780,350,000.00"
Trading Index,"1,995.54",181.08,9.98,"29,475,700.00"
