Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,998.65",-39.98,-1.96,"4,623,452,312.00"
Sensitive Index,381.43,-5.33,-1.38,"4,458,650,000.00"
Float Index,137.07,-2.58,-1.85,"4,553,950,000.00"
Sensitive Float Index,123.29,-1.40,-1.12,"3,913,650,000.00"
Banking SubIndex,"1,524.30",-23.12,-1.49,"1,678,760,000.00"
Development Bank Index,"2,145.12",-10.29,-0.48,"479,514,000.00"
Finance Index,863.57,-5.03,-0.58,"377,203,000.00"
Hotels And Tourism,"1,903.22",-93.11,-4.66,"9,604,020.00"
HydroPower Index,"1,579.03",-30.69,-1.91,"241,965,000.00"
Life Insurance,"13,184.70",-519.48,-3.79,"1,004,070,000.00"
Manufacturing And Processing,"4,801.66",-46.04,-0.95,"246,674,000.00"
Microfinance Index,"3,183.26",-41.85,-1.30,"362,373,000.00"
Mutual Fund,11.31,-0.05,-0.40,"12,529,900.00"
Non Life Insurance,"9,302.49",-238.45,-2.50,"1,320,750,000.00"
Others Index,"1,525.26",-43.17,-2.75,"531,457,000.00"
Trading Index,"1,971.12",-7.31,-0.37,"19,722,800.00"
