Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,736.48",17.28,0.63,"8,235,268,755.31"
Sensitive Index,459.03,2.55,0.56,"2,368,180,590.10"
Float Index,185.36,1.05,0.57,"7,218,624,515.36"
Sensitive Float Index,153.91,0.75,0.49,"2,368,180,590.10"
Banking SubIndex,"1,389.97",7.35,0.53,"292,418,832.30"
Development Bank Index,"5,859.82",-19.48,-0.33,"994,715,944.10"
Finance Index,"2,669.00",0.55,0.02,"213,717,374.50"
Hotels And Tourism,"6,611.58",42.44,0.64,"54,663,675.90"
HydroPower Index,"3,657.58",31.16,0.85,"2,335,127,395.70"
Investment,109.40,1.90,1.76,"858,368,139.70"
Life Insurance,"13,838.27",89.32,0.64,"695,352,415.56"
Manufacturing And Processing,"7,286.63",13.51,0.18,"289,445,295.20"
Microfinance Index,"5,028.91",-14.08,-0.27,"257,270,572.40"
Mutual Fund,19.20,0.02,0.10,"9,832,564.05"
Non Life Insurance,"12,771.69",51.61,0.40,"194,425,542.00"
Others Index,"2,446.15",37.91,1.57,"1,010,299,218.80"
Trading Index,"4,103.40",8.85,0.21,"22,820,109.20"
