Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,231.57",14.37,0.65,"1,044,626,939.45"
Sensitive Index,435.09,2.42,0.56,"1,053,240,000.00"
Float Index,152.64,1.07,0.70,"1,035,320,000.00"
Sensitive Float Index,139.08,0.83,0.60,"589,507,000.00"
Banking SubIndex,"1,539.93",8.19,0.53,"159,564,742.80"
Development Bank Index,"3,858.28",25.18,0.66,"95,755,837.30"
Finance Index,"1,635.95",9.50,0.58,"48,861,956.30"
Hotels And Tourism,"2,849.57",0.07,0.00,"11,173,435.30"
HydroPower Index,"2,586.50",30.29,1.19,"374,347,745.50"
Investment,72.16,0.11,0.16,"56,866,023.60"
Life Insurance,"10,768.51",66.51,0.62,"74,760,238.50"
Manufacturing And Processing,"5,388.15",30.49,0.57,"33,217,206.10"
Microfinance Index,"4,566.20",29.02,0.64,"99,689,970.90"
Mutual Fund,15.21,0.07,0.48,"3,897,139.46"
Non Life Insurance,"9,543.49",134.51,1.43,"57,807,881.90"
Others Index,"1,690.93",8.96,0.53,"19,253,818.50"
Trading Index,"1,933.52",29.21,1.53,"4,025,031.00"
