Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,424.32",59.68,2.52,"15,548,684,746.66"
Sensitive Index,436.14,16.37,3.90,"4,917,269,126.50"
Float Index,166.12,4.66,2.88,"15,401,096,562.70"
Sensitive Float Index,144.74,5.51,3.96,"4,901,458,830.00"
Banking SubIndex,"1,362.16",80.49,6.28,"2,263,504,994.80"
Development Bank Index,"4,907.31",63.51,1.31,"1,218,560,489.00"
Finance Index,"2,762.90",-35.69,-1.27,"1,563,438,275.00"
Hotels And Tourism,"6,145.51",63.61,1.04,"305,642,734.80"
HydroPower Index,"2,985.28",-0.22,0.00,"4,690,000,331.10"
Investment,88.23,0.77,0.89,"786,390,617.40"
Life Insurance,"11,475.03",146.31,1.29,"924,956,985.20"
Manufacturing And Processing,"7,169.14",83.19,1.17,"632,969,603.30"
Microfinance Index,"5,159.95",139.40,2.77,"1,738,055,875.30"
Mutual Fund,20.53,0.18,0.89,"22,005,268.31"
Non Life Insurance,"11,924.37",123.92,1.05,"718,934,765.80"
Others Index,"1,794.28",40.38,2.30,"572,356,554.00"
Trading Index,"3,381.49",15.77,0.46,"55,675,681.20"
