Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,850.61",-19.12,-1.02,"608,135,094.13"
Sensitive Index,354.78,-3.14,-0.88,"208,379,341.50"
Float Index,129.47,-1.30,-0.99,"581,425,671.00"
Sensitive Float Index,118.07,-1.01,-0.85,"207,674,537.50"
Banking SubIndex,"1,219.09",-9.12,-0.74,"144,574,231.40"
Development Bank Index,"3,402.74",-34.25,-1.00,"22,838,308.80"
Finance Index,"1,549.06",-19.04,-1.21,"16,360,162.60"
Hotels And Tourism,"3,471.67",-63.42,-1.79,"22,048,280.70"
HydroPower Index,"2,315.97",-48.20,-2.04,"170,416,543.00"
Investment,61.93,-0.70,-1.12,"24,075,399.30"
Life Insurance,"9,292.47",-40.05,-0.43,"38,864,793.70"
Manufacturing And Processing,"4,341.54",-6.41,-0.15,"47,467,122.30"
Microfinance Index,"3,269.24",-41.16,-1.24,"41,950,460.20"
Mutual Fund,13.52,-0.01,-0.05,"962,322.21"
Non Life Insurance,"8,535.99",-102.73,-1.19,"30,260,507.00"
Others Index,"1,368.64",-10.37,-0.75,"19,080,067.20"
Trading Index,"2,039.14",-10.06,-0.49,"3,489,794.80"
