Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,050.59",4.89,0.24,"1,731,832,270.04"
Sensitive Index,392.50,0.97,0.25,"1,526,870,000.00"
Float Index,141.87,0.06,0.04,"1,719,340,000.00"
Sensitive Float Index,129.12,0.01,0.01,"1,073,450,000.00"
Banking SubIndex,"1,379.72",-0.62,-0.05,"232,993,767.10"
Development Bank Index,"3,580.09",5.35,0.15,"125,752,890.10"
Finance Index,"1,673.33",31.36,1.91,"235,907,941.20"
Hotels And Tourism,"2,768.76",-9.75,-0.35,"6,528,708.00"
HydroPower Index,"2,347.44",-12.62,-0.53,"352,884,655.80"
Investment,67.03,0.48,0.72,"95,395,490.70"
Life Insurance,"9,872.45",-28.22,-0.29,"60,542,452.50"
Manufacturing And Processing,"5,299.90",63.42,1.21,"245,501,897.10"
Microfinance Index,"4,556.37",7.99,0.18,"229,421,426.50"
Mutual Fund,14.96,0.02,0.12,"4,410,173.05"
Non Life Insurance,"8,216.64",56.19,0.69,"39,306,117.20"
Others Index,"1,508.33",17.23,1.16,"83,288,769.80"
Trading Index,"2,065.26",-12.17,-0.59,"11,814,180.00"
