Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,164.61",20.68,0.96,"5,459,925,001.18"
Sensitive Index,411.23,0.00,0.00,"1,920,397,600.20"
Float Index,151.88,1.45,0.96,"5,405,895,775.39"
Sensitive Float Index,137.75,-0.05,-0.04,"1,911,705,241.00"
Banking SubIndex,"1,383.45",-12.25,-0.88,"604,582,007.30"
Development Bank Index,"3,824.74",19.22,0.51,"384,562,525.60"
Finance Index,"1,865.51",36.06,1.97,"341,757,287.10"
Hotels And Tourism,"3,407.20",130.46,3.98,"83,677,462.70"
HydroPower Index,"2,480.17",53.86,2.22,"1,687,748,280.90"
Investment,69.39,1.28,1.88,"223,508,480.79"
Life Insurance,"11,062.36",468.99,4.43,"398,925,912.80"
Manufacturing And Processing,"5,545.62",-64.63,-1.15,"419,797,122.00"
Microfinance Index,"4,994.02",-10.99,-0.22,"674,344,700.60"
Mutual Fund,14.45,0.42,2.99,"12,098,772.35"
Non Life Insurance,"9,445.13",321.56,3.52,"398,545,239.60"
Others Index,"1,582.20",15.36,0.98,"159,846,761.10"
Trading Index,"2,398.32",57.67,2.46,"28,599,994.90"
