Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,930.99",56.11,2.99,"1,290,664,641.80"
Sensitive Index,382.14,11.28,3.04,"1,200,620,000.00"
Float Index,135.22,3.72,2.83,"1,258,720,000.00"
Sensitive Float Index,124.41,3.75,3.11,"878,392,000.00"
Banking SubIndex,"1,370.85",29.54,2.20,"307,970,317.90"
Development Bank Index,"3,453.53",131.24,3.95,"118,189,576.90"
Finance Index,"1,596.64",83.18,5.50,"101,396,245.80"
Hotels And Tourism,"2,673.97",54.76,2.09,"12,794,795.20"
HydroPower Index,"2,001.34",83.82,4.37,"313,032,990.40"
Investment,58.06,2.33,4.18,"53,978,876.00"
Life Insurance,"8,883.44",174.87,1.99,"47,593,409.40"
Manufacturing And Processing,"5,014.85",161.68,3.33,"84,445,663.20"
Microfinance Index,"4,297.08",91.97,2.19,"125,570,131.20"
Mutual Fund,13.64,0.07,0.53,"2,891,895.32"
Non Life Insurance,"7,702.67",182.34,2.42,"44,462,582.90"
Others Index,"1,397.52",70.10,5.28,"42,788,340.10"
Trading Index,"1,866.36",81.41,4.56,"6,500,341.00"
