Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,831.39",-47.71,-1.65,"12,966,659,168.04"
Sensitive Index,481.58,-7.90,-1.61,"5,593,720,445.70"
Float Index,194.25,-3.20,-1.62,"12,684,011,611.34"
Sensitive Float Index,164.72,-2.55,-1.52,"5,593,720,445.70"
Banking SubIndex,"1,479.52",-28.04,-1.86,"1,348,435,079.90"
Development Bank Index,"6,109.69",-77.21,-1.24,"821,561,784.90"
Finance Index,"2,512.15",-51.28,-2.00,"225,810,191.00"
Hotels And Tourism,"7,497.48",-89.84,-1.18,"152,924,787.80"
HydroPower Index,"3,898.93",-76.88,-1.93,"6,688,023,204.59"
Investment,108.08,-1.75,-1.59,"739,324,775.70"
Life Insurance,"13,113.53",-186.27,-1.40,"307,294,606.90"
Manufacturing And Processing,"10,392.34",-22.46,-0.21,"1,167,678,127.80"
Microfinance Index,"5,035.09",-66.35,-1.30,"569,594,333.70"
Mutual Fund,21.97,-0.21,-0.98,"11,118,716.60"
Non Life Insurance,"11,382.73",-211.57,-1.82,"189,004,398.40"
Others Index,"2,305.19",-50.18,-2.13,"454,628,482.75"
Trading Index,"3,948.10",-103.86,-2.56,"19,731,837.90"
