Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,080.45",60.22,2.98,"1,640,356,608.04"
Sensitive Index,400.37,11.25,2.89,"1,570,800,000.00"
Float Index,143.12,4.15,2.99,"1,560,890,000.00"
Sensitive Float Index,129.40,3.80,3.03,"1,110,060,000.00"
Banking SubIndex,"1,419.07",29.35,2.11,"408,493,298.60"
Development Bank Index,"3,646.15",116.39,3.30,"116,944,876.50"
Finance Index,"1,566.57",74.97,5.03,"70,379,566.70"
Hotels And Tourism,"2,756.30",492.73,3.48,"7,599,831.30"
HydroPower Index,"2,457.70",84.60,3.56,"409,438,647.00"
Investment,67.80,1.91,2.90,"86,811,220.90"
Life Insurance,"9,869.56",293.13,3.06,"112,243,375.80"
Manufacturing And Processing,"5,044.89",154.74,3.16,"91,224,086.50"
Microfinance Index,"4,405.57",154.74,3.16,"149,636,725.00"
Mutual Fund,14.85,0.17,1.17,"7,773,049.35"
Non Life Insurance,"8,658.80",320.30,3.84,"75,758,929.40"
Others Index,"1,560.02",57.79,3.85,"27,483,699.30"
Trading Index,"1,735.50",58.26,3.47,"4,873,308.10"
