Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,871.22",-27.16,-1.43,"971,767,714.44"
Sensitive Index,366.84,-5.36,-1.44,"720,971,000.00"
Float Index,130.66,-2.06,-1.56,"728,879,000.00"
Sensitive Float Index,118.91,-2.29,-1.89,"497,673,000.00"
Banking SubIndex,"1,312.84",-15.10,-1.14,"125,610,497.20"
Development Bank Index,"3,366.65",-91.69,-2.65,"93,855,183.20"
Finance Index,"1,541.54",-37.69,-2.39,"64,015,829.80"
Hotels And Tourism,"2,539.65",-45.15,-1.75,"5,368,189.30"
HydroPower Index,"1,980.57",-43.61,-2.15,"166,850,344.10"
Investment,57.39,-0.78,-1.34,"28,385,617.70"
Life Insurance,"8,829.79",-71.55,-0.80,"32,418,056.00"
Manufacturing And Processing,"4,782.44",-41.59,-0.86,"53,316,116.70"
Microfinance Index,"4,230.35",-73.85,-1.72,"101,860,653.40"
Mutual Fund,13.74,0.12,0.84,"3,897,062.74"
Non Life Insurance,"7,529.98",-114.05,-1.49,"32,277,999.60"
Others Index,"1,317.39",-18.43,-1.38,"22,081,474.50"
Trading Index,"1,798.99",-9.83,-0.54,"2,838,951.00"
