Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,461.88",-23.22,-0.93,"4,752,708,147.00"
Sensitive Index,445.21,-4.47,-0.99,"4,567,610,000.00"
Float Index,169.70,-1.69,-0.99,"4,633,780,000.00"
Sensitive Float Index,144.49,-1.58,-1.08,"3,470,060,000.00"
Banking SubIndex,"1,773.94",-21.77,-1.21,"905,915,000.00"
Development Bank Index,"2,542.85",-22.00,-0.86,"507,599,000.00"
Finance Index,"1,139.60",-4.43,-0.39,"217,302,000.00"
Hotels And Tourism,"2,352.94",68.11,2.98,"8,697,640.00"
HydroPower Index,"2,055.27",36.39,1.80,"1,035,420,000.00"
Investment,95.31,-1.34,-1.38,"418,678,000.00"
Life Insurance,"16,425.47",-201.56,-1.21,"265,604,000.00"
Manufacturing And Processing,"5,235.04",-88.74,-1.67,"95,666,400.00"
Microfinance Index,"4,241.06",-47.46,-1.11,"411,608,000.00"
Mutual Fund,12.96,0.01,0.07,"57,412,100.00"
Non Life Insurance,"12,570.81",-114.70,-0.90,"1,288,120,000.00"
Others Index,"1,974.18",-20.41,-1.02,"688,303,000.00"
Trading Index,"3,642.62",-49.82,-1.35,"19,528,100.00"
