Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,432.44",-17.50,-1.21,"1,532,511,716.00"
Sensitive Index,303.14,-3.91,-1.27,"1,303,170,000.00"
Float Index,100.84,-1.27,-1.24,"1,513,820,000.00"
Sensitive Float Index,100.26,-1.47,-1.45,"1,126,500,000.00"
Banking SubIndex,"1,243.74",-21.51,-1.70,"498,373,000.00"
Development Bank Index,"1,834.69",-3.82,-0.21,"198,613,000.00"
Finance Index,668.33,-7.16,-1.06,"108,773,000.00"
Hotels And Tourism,"1,630.80",134.46,8.99,"22,685,300.00"
HydroPower Index,965.53,-13.03,-1.33,"33,927,300.00"
Life Insurance,"8,397.77",-71.60,-0.85,"155,237,000.00"
Manufacturing And Processing,"2,815.28",-20.95,-0.74,"89,392,200.00"
Microfinance Index,"2,428.34",-15.10,-0.62,"293,341,000.00"
Mutual Fund,10.62,0.07,0.66,"2,257,440.00"
Non Life Insurance,"6,448.68",-5.54,-0.09,"323,773,000.00"
Others Index,784.42,-14.33,-1.79,"178,043,000.00"
Trading Index,866.01,-7.94,-0.91,"2,844,450.00"
