Index,Current,Point Change,% Change,Turnover
NEPSE Index,"2,676.03",10.43,0.39,"6,662,383,143.46"
Sensitive Index,461.66,2.48,0.54,"2,789,469,162.30"
Float Index,183.59,1.14,0.62,"6,592,772,483.10"
Sensitive Float Index,157.06,1.21,0.77,"2,789,469,162.30"
Banking SubIndex,"1,396.58",20.61,1.49,"661,734,370.60"
Development Bank Index,"5,486.13",9.37,0.17,"304,455,188.20"
Finance Index,"2,300.99",-8.87,-0.38,"82,258,818.80"
Hotels And Tourism,"7,075.81",22.68,0.32,"199,142,650.90"
HydroPower Index,"3,435.92",0.60,0.01,"2,588,858,270.30"
Investment,107.52,0.89,0.83,"810,593,783.60"
Life Insurance,"13,633.41",19.71,0.14,"649,388,933.90"
Manufacturing And Processing,"7,912.19",-21.40,-0.26,"359,768,074.00"
Microfinance Index,"5,038.17",-18.10,-0.35,"468,342,218.80"
Mutual Fund,20.05,0.15,0.78,"6,751,657.47"
Non Life Insurance,"11,103.43",11.21,0.10,"90,721,270.00"
Others Index,"2,400.69",-1.30,-0.05,"373,118,460.00"
Trading Index,"3,828.81",-5.64,-0.14,"4,390,444.00"
