Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,929.70",-7.13,-0.37,"1,352,885,779.64"
Sensitive Index,379.60,-1.46,-0.38,"560,203,998.30"
Float Index,135.26,-0.21,-0.15,"1,343,163,140.23"
Sensitive Float Index,124.47,-0.18,-0.14,"559,496,744.70"
Banking SubIndex,"1,359.18",1.26,0.09,"315,493,313.80"
Development Bank Index,"3,468.91",-49.95,-1.44,"77,162,531.90"
Finance Index,"1,590.46",-5.40,-0.34,"80,068,801.60"
Hotels And Tourism,"2,700.09",-17.55,-0.65,"11,780,535.40"
HydroPower Index,"2,015.20",-14.05,-0.69,"425,722,014.30"
Investment,57.49,-0.34,-0.58,"43,527,239.70"
Life Insurance,"9,079.40",2.36,0.03,"49,166,151.00"
Manufacturing And Processing,"5,068.92",-39.48,-0.77,"174,915,249.70"
Microfinance Index,"4,244.35",-19.44,-0.46,"104,797,207.13"
Mutual Fund,13.53,-0.02,-0.18,"1,050,230.12"
Non Life Insurance,"7,650.82",-25.16,-0.33,"20,728,038.00"
Others Index,"1,444.00",-17.76,-1.21,"34,708,398.00"
Trading Index,"1,819.64",-7.06,-0.39,"5,093,659.70"
